18059266#0:0.000000,1:0.000000,2:0.000000,3:0.746050,4:0.000000,5:0.000191,6:0.000191,7:0.000191,8:0.000191,9:0.000000,10:0.000000,11:0.000191,12:0.000191,13:0.000000,14:0.000000,15:0.000191,16:0.000191,17:0.000000,18:0.000000,19:0.000191,20:0.000191,21:0.032235,22:0.000000,23:0.000191,24:0.000000,25:0.000000,26:0.000191,27:0.000191,28:0.000191,29:0.000191
19855365#0:0.000000,1:0.000229,2:0.000229,3:0.000229,4:0.000000,5:0.000229,6:0.000000,7:0.000000,8:0.385113,9:0.000000,10:0.000000,11:0.000000,12:0.000000,13:0.000000,14:0.000229,15:0.000000,16:0.000000,17:0.000000,18:0.000000,19:0.000000,20:0.000229,21:0.000000,22:0.000000,23:0.054530,24:0.000229,25:0.000000,26:0.000229,27:0.000000,28:0.000229,29:0.000000
34229769#0:0.001282,1:0.001282,2:0.001282,3:0.001282,4:0.001282,5:0.001282,6:0.001282,7:0.001282,8:0.962821,9:0.001282,10:0.001282,11:0.001282,12:0.001282,13:0.001282,14:0.001282,15:0.001282,16:0.001282,17:0.001282,18:0.001282,19:0.001282,20:0.001282,21:0.001282,22:0.001282,23:0.001282,24:0.001282,25:0.001282,26:0.001282,27:0.001282,28:0.001282,29:0.001282
7948815#0:0.000279,1:0.000000,2:0.000279,3:0.000279,4:0.000279,5:0.000279,6:0.000279,7:0.000279,8:0.000279,9:0.000279,10:0.000279,11:0.000000,12:0.000279,13:0.029676,14:0.000000,15:0.000000,16:0.000000,17:0.000000,18:0.000279,19:0.000000,20:0.000279,21:0.000279,22:0.000279,23:0.000000,24:0.717245,25:0.000279,26:0.000000,27:0.000279,28:0.000000,29:0.000279
52932624#0:0.000273,1:0.000273,2:0.000273,3:0.000273,4:0.000000,5:0.000000,6:0.080399,7:0.136094,8:0.000000,9:0.000273,10:0.000000,11:0.000000,12:0.000000,13:0.000000,14:0.000273,15:0.000273,16:0.000273,17:0.000273,18:0.000000,19:0.000273,20:0.000000,21:0.000000,22:0.000273,23:0.000000,24:0.000273,25:0.000273,26:0.000000,27:0.535126,28:0.000273,29:0.000273
1003864#0:0.776714,1:0.000000,2:0.000000,3:0.000000,4:0.000140,5:0.000140,6:0.000140,7:0.000140,8:0.000140,9:0.000140,10:0.030297,11:0.000000,12:0.000000,13:0.000000,14:0.000140,15:0.000000,16:0.000140,17:0.000000,18:0.000000,19:0.000140,20:0.000000,21:0.000000,22:0.000118,23:0.000000,24:0.000000,25:0.000000,26:0.000000,27:0.000140,28:0.000000,29:0.102028
14451219#0:0.000000,1:0.081387,2:0.000412,3:0.000000,4:0.000000,5:0.000412,6:0.000412,7:0.000412,8:0.000412,9:0.000412,10:0.000412,11:0.000412,12:0.000000,13:0.000412,14:0.000000,15:0.000412,16:0.000412,17:0.000412,18:0.395148,19:0.000412,20:0.000412,21:0.000412,22:0.000000,23:0.197780,24:0.000412,25:0.000412,26:0.000412,27:0.000412,28:0.000000,29:0.000412
24366852#0:0.000198,1:0.000000,2:0.000198,3:0.000198,4:0.000198,5:0.000000,6:0.000234,7:0.035913,8:0.000198,9:0.523058,10:0.000000,11:0.000000,12:0.000198,13:0.000000,14:0.000000,15:0.000000,16:0.000000,17:0.000198,18:0.000000,19:0.000000,20:0.000198,21:0.000000,22:0.011682,23:0.000198,24:0.000000,25:0.000198,26:0.000198,27:0.000198,28:0.000000,29:0.073485
7100079#0:0.000439,1:0.000234,2:0.000000,3:0.000439,4:0.000000,5:0.000000,6:0.000000,7:0.007445,8:0.000439,9:0.000439,10:0.145828,11:0.000439,12:0.000000,13:0.000439,14:0.000439,15:0.000439,16:0.000000,17:0.000000,18:0.000000,19:0.000000,20:0.000000,21:0.000000,22:0.000439,23:0.000000,24:0.000000,25:0.000000,26:0.000000,27:0.000000,28:0.000000,29:0.080703
5493568#0:0.000000,1:0.000000,2:0.000000,3:0.000000,4:0.000000,5:0.000160,6:0.000000,7:0.546548,8:0.000160,9:0.000000,10:0.000000,11:0.000160,12:0.000160,13:0.000000,14:0.000000,15:0.000000,16:0.000000,17:0.000000,18:0.229827,19:0.000160,20:0.000000,21:0.000160,22:0.000000,23:0.000160,24:0.000000,25:0.004628,26:0.000160,27:0.000160,28:0.000160,29:0.000000
37797414#0:0.069993,1:0.000095,2:0.000095,3:0.000000,4:0.000000,5:0.000095,6:0.000095,7:0.000095,8:0.000000,9:0.000095,10:0.226358,11:0.000000,12:0.000000,13:0.000000,14:0.359431,15:0.000000,16:0.078617,17:0.000000,18:0.000095,19:0.000000,20:0.000000,21:0.000000,22:0.129035,23:0.000095,24:0.000000,25:0.000000,26:0.000000,27:0.065775,28:0.000095,29:0.000095
