40430082#0:0.114514,1:0.000123,2:0.000123,3:0.000123,4:0.000000,5:0.000000,6:0.000000,7:0.000123,8:0.000000,9:0.008223,10:0.059518,11:0.014283,12:0.000000,13:0.000000,14:0.000123,15:0.002162,16:0.000123,17:0.013273,18:0.049637,19:0.000123,20:0.000123,21:0.000123,22:0.074526,23:0.000000,24:0.007212,25:0.092636,26:0.000123,27:0.488124,28:0.000123,29:0.096064
6551046#0:0.000175,1:0.000195,2:0.000000,3:0.000000,4:0.042281,5:0.000000,6:0.000195,7:0.000000,8:0.300175,9:0.000000,10:0.000000,11:0.000000,12:0.000000,13:0.000195,14:0.000000,15:0.000000,16:0.000195,17:0.454017,18:0.000195,19:0.000000,20:0.000000,21:0.000195,22:0.000000,23:0.000000,24:0.000195,25:0.000195,26:0.000000,27:0.000000,28:0.000000,29:0.000000
3070476#0:0.180214,1:0.000000,2:0.000149,3:0.000149,4:0.000000,5:0.000000,6:0.000000,7:0.000000,8:0.000000,9:0.000149,10:0.054228,11:0.000000,12:0.000000,13:0.056640,14:0.000000,15:0.000000,16:0.000000,17:0.000149,18:0.000000,19:0.000149,20:0.000000,21:0.000000,22:0.000000,23:0.000000,24:0.039346,25:0.000000,26:0.000000,27:0.117778,28:0.000000,29:0.004208
42284546#0:0.000000,1:0.000000,2:0.000168,3:0.000000,4:0.000000,5:0.000168,6:0.000168,7:0.000000,8:0.000000,9:0.161800,10:0.093479,11:0.000000,12:0.000168,13:0.000000,14:0.000000,15:0.000000,16:0.000000,17:0.000000,18:0.078433,19:0.000000,20:0.013271,21:0.000000,22:0.000000,23:0.000000,24:0.000000,25:0.000000,26:0.000000,27:0.000000,28:0.000168,29:0.000000
18951183#0:0.056425,1:0.000000,2:0.000165,3:0.000000,4:0.000000,5:0.000000,6:0.029408,7:0.225810,8:0.000000,9:0.000000,10:0.000000,11:0.000000,12:0.000000,13:0.000165,14:0.000000,15:0.000000,16:0.000000,17:0.000000,18:0.000000,19:0.000165,20:0.000000,21:0.000000,22:0.000000,23:0.000000,24:0.100978,25:0.000000,26:0.000000,27:0.000165,28:0.000165,29:0.000165
42077202#0:0.164016,1:0.000000,2:0.000000,3:0.000000,4:0.000000,5:0.000142,6:0.000000,7:0.199237,8:0.000142,9:0.000000,10:0.000000,11:0.000000,12:0.000140,13:0.000142,14:0.000000,15:0.000142,16:0.000142,17:0.000000,18:0.000000,19:0.000000,20:0.000142,21:0.000000,22:0.054954,23:0.039803,24:0.000142,25:0.366040,26:0.000000,27:0.000000,28:0.000000,29:0.000000
3751956#0:0.000000,1:0.000000,2:0.000000,3:0.000248,4:0.000248,5:0.000248,6:0.000000,7:0.000000,8:0.000000,9:0.000248,10:0.000000,11:0.000248,12:0.000000,13:0.000000,14:0.000000,15:0.000000,16:0.000000,17:0.088964,18:0.000000,19:0.000248,20:0.000000,21:0.000248,22:0.000248,23:0.327460,24:0.000000,25:0.000000,26:0.000000,27:0.000000,28:0.000248,29:0.000248
52643502#0:0.031539,1:0.000000,2:0.000000,3:0.000159,4:0.000000,5:0.000159,6:0.000000,7:0.538159,8:0.000000,9:0.000159,10:0.091943,11:0.000000,12:0.000159,13:0.000000,14:0.000000,15:0.000159,16:0.000000,17:0.000159,18:0.000000,19:0.000159,20:0.000000,21:0.000000,22:0.000000,23:0.000159,24:0.000159,25:0.000189,26:0.000000,27:0.000159,28:0.000159,29:0.000159
53255194#0:0.000000,1:0.000121,2:0.000000,3:0.000000,4:0.000121,5:0.000111,6:0.000000,7:0.000000,8:0.000000,9:0.000000,10:0.000111,11:0.000000,12:0.000000,13:0.000000,14:0.000121,15:0.000121,16:0.000121,17:0.000111,18:0.498450,19:0.000000,20:0.000000,21:0.000000,22:0.000121,23:0.000000,24:0.000121,25:0.000111,26:0.000000,27:0.000000,28:0.000000,29:0.000111
10253339#0:0.084448,1:0.000000,2:0.000000,3:0.000145,4:0.000000,5:0.000000,6:0.000000,7:0.000145,8:0.000145,9:0.000000,10:0.114410,11:0.000000,12:0.000145,13:0.000000,14:0.179761,15:0.000000,16:0.000000,17:0.000000,18:0.000145,19:0.000145,20:0.000000,21:0.000000,22:0.219224,23:0.000000,24:0.000145,25:0.000145,26:0.000000,27:0.000145,28:0.000000,29:0.000000
22656540#0:0.024774,1:0.000104,2:0.000104,3:0.148230,4:0.002551,5:0.000104,6:0.000082,7:0.053087,8:0.000000,9:0.000104,10:0.000000,11:0.000000,12:0.000104,13:0.146039,14:0.000000,15:0.000000,16:0.000104,17:0.000000,18:0.000000,19:0.000104,20:0.000000,21:0.000104,22:0.029707,23:0.000104,24:0.000104,25:0.033638,26:0.000000,27:0.000104,28:0.039588,29:0.000000
24523808#0:0.000000,1:0.000000,2:0.000000,3:0.000000,4:0.000000,5:0.000000,6:0.000000,7:0.000000,8:0.000123,9:0.000123,10:0.213562,11:0.000000,12:0.000000,13:0.000000,14:0.000000,15:0.000000,16:0.000000,17:0.000123,18:0.000000,19:0.000000,20:0.000123,21:0.000000,22:0.000000,23:0.000000,24:0.046206,25:0.038127,26:0.000000,27:0.000123,28:0.000000,29:0.000000
55956516#0:0.000166,1:0.000166,2:0.000166,3:0.000166,4:0.243947,5:0.000166,6:0.000166,7:0.000166,8:0.000166,9:0.000166,10:0.000166,11:0.000166,12:0.000166,13:0.000166,14:0.015091,15:0.000166,16:0.000166,17:0.000166,18:0.000166,19:0.000166,20:0.139469,21:0.000166,22:0.000166,23:0.000166,24:0.000166,25:0.000166,26:0.000166,27:0.000166,28:0.447927,29:0.149420
34344486#0:0.000166,1:0.000166,2:0.000166,3:0.000166,4:0.000166,5:0.000166,6:0.000166,7:0.000166,8:0.000166,9:0.000166,10:0.258872,11:0.124544,12:0.000166,13:0.612106,14:0.000166,15:0.000166,16:0.000166,17:0.000166,18:0.000166,19:0.000166,20:0.000166,21:0.000166,22:0.000166,23:0.000166,24:0.000166,25:0.000166,26:0.000166,27:0.000166,28:0.000166,29:0.000166
