39533058#0:0.000000,1:0.000000,2:0.000000,3:0.000319,4:0.000000,5:0.000319,6:0.000319,7:0.000000,8:0.000000,9:0.000000,10:0.000319,11:0.485792,12:0.000319,13:0.000000,14:0.000319,15:0.000000,16:0.000319,17:0.000319,18:0.000000,19:0.000319,20:0.000319,21:0.000319,22:0.058447,23:0.000000,24:0.000000,25:0.000000,26:0.000319,27:0.000319,28:0.000319,29:0.000000
16005123#0:0.000000,1:0.000000,2:0.000334,3:0.000334,4:0.000334,5:0.000334,6:0.000000,7:0.000000,8:0.000334,9:0.000000,10:0.000000,11:0.000000,12:0.000334,13:0.000000,14:0.000000,15:0.000334,16:0.000334,17:0.000000,18:0.000334,19:0.000334,20:0.000334,21:0.000000,22:0.000334,23:0.000334,24:0.000334,25:0.000000,26:0.000334,27:0.000334,28:0.490850,29:0.000654
55217157#0:0.068788,1:0.000000,2:0.000096,3:0.000096,4:0.000000,5:0.000096,6:0.000096,7:0.000000,8:0.000000,9:0.079594,10:0.056969,11:0.000119,12:0.000000,13:0.187885,14:0.027310,15:0.000000,16:0.000000,17:0.000000,18:0.000096,19:0.000096,20:0.000000,21:0.031063,22:0.000119,23:0.000096,24:0.000096,25:0.000000,26:0.000000,27:0.000000,28:0.030411,29:0.000000
47244807#0:0.000000,1:0.000184,2:0.000000,3:0.000000,4:0.000184,5:0.000000,6:0.000000,7:0.000000,8:0.121125,9:0.000184,10:0.243929,11:0.000000,12:0.000000,13:0.000000,14:0.000000,15:0.000184,16:0.000000,17:0.000000,18:0.000000,19:0.000000,20:0.000000,21:0.000000,22:0.000000,23:0.000000,24:0.000184,25:0.000000,26:0.000184,27:0.000000,28:0.000184,29:0.000000
32518665#0:0.000000,1:0.362884,2:0.000231,3:0.000000,4:0.000231,5:0.000000,6:0.000231,7:0.000000,8:0.000231,9:0.000000,10:0.000000,11:0.000000,12:0.087613,13:0.000000,14:0.000000,15:0.000231,16:0.067365,17:0.000000,18:0.000000,19:0.000231,20:0.000000,21:0.000231,22:0.000000,23:0.000000,24:0.000000,25:0.000231,26:0.000000,27:0.000231,28:0.000000,29:0.000231
47940618#0:0.025801,1:0.000000,2:0.000000,3:0.000000,4:0.000000,5:0.000000,6:0.000000,7:0.000000,8:0.000145,9:0.000145,10:0.116278,11:0.105599,12:0.000145,13:0.000000,14:0.000000,15:0.000000,16:0.000000,17:0.000000,18:0.000000,19:0.000000,20:0.000145,21:0.002232,22:0.119985,23:0.000000,24:0.000000,25:0.000000,26:0.000145,27:0.000000,28:0.000000,29:0.066002
53547027#0:0.071367,1:0.000000,2:0.000118,3:0.000000,4:0.000000,5:0.000000,6:0.000118,7:0.000118,8:0.000118,9:0.000000,10:0.451461,11:0.200562,12:0.000000,13:0.000000,14:0.000000,15:0.000000,16:0.000000,17:0.000000,18:0.000000,19:0.000118,20:0.000000,21:0.000000,22:0.090058,23:0.000094,24:0.000000,25:0.000000,26:0.000000,27:0.000000,28:0.000118,29:0.000000
14061588#0:0.000000,1:0.000000,2:0.000154,3:0.000154,4:0.000154,5:0.000154,6:0.000154,7:0.000154,8:0.000154,9:0.000000,10:0.000154,11:0.000000,12:0.151149,13:0.000154,14:0.000154,15:0.000154,16:0.000000,17:0.000000,18:0.152535,19:0.000154,20:0.000000,21:0.000154,22:0.000000,23:0.465048,24:0.000000,25:0.000154,26:0.000000,27:0.000000,28:0.000154,29:0.000000
48224280#0:0.000129,1:0.000129,2:0.000129,3:0.000129,4:0.000129,5:0.000129,6:0.000129,7:0.000129,8:0.000129,9:0.000129,10:0.239511,11:0.000129,12:0.000129,13:0.000129,14:0.000129,15:0.000129,16:0.200901,17:0.000129,18:0.000129,19:0.000129,20:0.000129,21:0.000129,22:0.096654,23:0.000129,24:0.000129,25:0.000129,26:0.000129,27:0.000129,28:0.000129,29:0.459588
52660251#0:0.031087,1:0.000000,2:0.000000,3:0.000000,4:0.000000,5:0.000000,6:0.000144,7:0.000000,8:0.000000,9:0.003446,10:0.406230,11:0.000000,12:0.000144,13:0.038452,14:0.134721,15:0.000000,16:0.000000,17:0.000000,18:0.000000,19:0.000000,20:0.000000,21:0.000144,22:0.000000,23:0.000144,24:0.000000,25:0.000144,26:0.000000,27:0.000144,28:0.000000,29:0.000144
17202204#0:0.191348,1:0.000000,2:0.000000,3:0.000000,4:0.000000,5:0.000121,6:0.000000,7:0.000000,8:0.000121,9:0.000121,10:0.155223,11:0.000000,12:0.000121,13:0.049505,14:0.000000,15:0.000121,16:0.000091,17:0.000121,18:0.050449,19:0.000121,20:0.000000,21:0.000000,22:0.084752,23:0.000121,24:0.000000,25:0.000000,26:0.000000,27:0.000121,28:0.000000,29:0.000000
